cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
83.661.074/0001-04;10383840;RealizaÃ§Ã£o de estudo para anÃ¡lise e desenvolvimentos dos pro;1;FUNDACAO EDUCACIONAL DE CRICIUMA;1;SERV;39600;39600;39600;39600;itensVencedores_2690b004-e4fa-4845-b222-8fa0338458cb.csv
10.442.984/0001-14;140300658;Agua SanitÃ¡ria 5Lt;1;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;24;GAL;152.4;152.4;6.35;6.35;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;340100841;ALCOOL 70% 5LT GEL ANTISSEPTICO XPRESS;2;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;48;GAL;2159.04;2159.04;44.98;44.98;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383912;ALCOOL 70% LIQUIDO NEUTRO;3;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;144;LT;1044;1044;7.25;7.25;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383913;BALDE 16LT GRADUADO PLASVALE REF:162;4;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;6;UND;106.5;106.5;17.75;17.75;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383914;CLORO 5LTS;5;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;12;GAL;112.32;112.32;9.36;9.36;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383915;COPO DESCARTAVEL P/ÃGUA 180ML TRANSLUCIDO C/ 2.500UN ABNIT/2;6;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;18;CX;1204.2;1204.2;66.9;66.9;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;340100842;DESODORIZADOR ULTRA FRESH ERVA DOCE 400ML;7;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;25;UND;197.5;197.5;7.9;7.9;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;340100843;DETERGENTE 500ML;8;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;72;UND;128.88;128.88;1.79;1.79;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383916;ESPONJA DUPLA FACE ESFREBOM REF: 94106;9;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;40;UND;24;24;0.6;0.6;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383917;ESPONJA FIBRA VERDE (LIMPEZA PESADA) REF: 9506;10;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;50;UND;75;75;1.5;1.5;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383918;FLANELA 38 X 58 LARANJA REF: 1128;11;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;24;UND;55.44;55.44;2.31;2.31;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383919;FOSFORO C/200 PALITOS LONGOS;12;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;12;CX;34.92;34.92;2.91;2.91;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383920;LIMPA VIDROS 500 ML POLWAX;13;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;40;UND;196.4;196.4;4.91;4.91;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383921;LIMPADOR PERFUMADO POLWAX BRISA DAS FLORES 500ML;14;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;40;UND;211.6;211.6;5.29;5.29;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383922;LUVAS MULT USO FORRADA TAM: P M G 1a;15;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;12;PAR;35.28;35.28;2.94;2.94;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383923;MLD FLORAL LIMPADOR/DESINFETANTE 5 LTS;16;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;24;GAL;1292.4;1292.4;53.85;53.85;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383924;PA PLASTICA JEITOSA REF: 9253C BETTANIN;17;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;4;UND;71.16;71.16;17.79;17.79;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383925;PALHETA P/ MISTURAR CAFÃ C/500 G REF:A16 PT/BR;18;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;12;PCT;130.8;130.8;10.9;10.9;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383926;PANO MULTIUSO PICOTADO VERDE 300MT X 30CM;19;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;4;RL;541.64;541.64;135.41;135.41;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383927;PAPEL HIGIÃNICO 64 ROLOS 30MTS;20;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;32;FRD;1213.12;1213.12;37.91;37.91;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383928;PAPEL TOALHA 2D C/1.000 100%;21;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;72;PCT;626.4;626.4;8.7;8.7;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10375355;Pedra SanitÃ¡ria;22;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;100;UND;125;125;1.25;1.25;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383930;PULVERIZADOR C/ GATILHO 750ML;23;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;12;UND;88.68;88.68;7.39;7.39;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383931;RODO PLASTICO 40CM C/ CABO MAD;24;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;6;UND;48.9;48.9;8.15;8.15;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383932;SABAO EM BARRA YPE GLICERINADO 5 X 200GR;25;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;10;PCT;67.3;67.3;6.73;6.73;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10300495;SabÃ£o em pÃ³ 1kg;26;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;36;UND;199.8;199.8;5.55;5.55;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;340100844;SABAO LIQUIDO 5 LT;27;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;40;GAL;465.6;465.6;11.64;11.64;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;340100845;SABONETE 5 LTS;28;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;15;GAL;235.5;235.5;15.7;15.7;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;340100846;SACA DE ALGODAO ALVEJADA (G) 50 X 70 REF: 1069;29;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;25;GAL;108.75;108.75;4.35;4.35;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;340100847;SACO DE LIXO PRETO 100 LTS C/ 100UN X 0,10;30;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;10;PCT;378;378;37.8;37.8;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383933;SACO DE LIXO PRETO 50LTS C/ 100UN;31;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;10;PCT;106;106;10.6;10.6;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383934;SACO LIXO PRETO 30LT X 100UN 59 X 62 X 0,03;32;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;10;PCT;94.5;94.5;9.45;9.45;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383935;TOALHA DE LOUÃA XADREZ 43 X 70 REF:1263;33;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;35;UND;95.9;95.9;2.74;2.74;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383936;VAS.NYLON CONDOR V-35;34;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;12;UND;140.76;140.76;11.73;11.73;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
10.442.984/0001-14;10383937;DETERGENTE/DESENGRAXANTE 5 LTS;35;DICRIL PROD. E EQUIP. PARA LIMP. E HIGIENE LTDA EP;24;GAL;3455.52;3455.52;143.98;143.98;itensVencedores_2720736c-6aef-4111-a691-a47fe8b32e70.csv
07.151.455/0001-57;1013960;CESTA BASICA TIPO 01;1;FABIANO DA SOLER ME;1300;UNI;90974;90974;69.98;69.98;itensVencedores_27f0e9ef-d1b4-4bc2-828e-d7232613c14c.csv
27.238.756/0001-20;1013961;CESTA BASICA TIPO 02;2;BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI;700;UNI;58408;58408;83.44;83.44;itensVencedores_27f0e9ef-d1b4-4bc2-828e-d7232613c14c.csv
31.239.323/0001-66;41206;CelebraÃ§Ã£o de Contrato de GestÃ£o Emergencial, objetivando o;1;INSTITUTO HARMONE DE ASSISTENCIA SOCIAL SAUDE EDUC;6;MES;3301970.22;3301970.22;550328.37;550328.37;itensVencedores_28f85c7f-c71b-4a03-b1d2-938e984d05e7.csv
03.777.341/0163-21;39804;NUTRISON ENERGY MULTI FIBER 1,5 KCAL 1000 ml;1;SERVICO SOCIAL DA INDUSTRIA;365;FR.;12592.5;12592.5;34.5;34.5;itensVencedores_29d3fbc1-c9bd-4577-a367-ef34f98a281d.csv
***.980.244-**;10383906;Acompanhamento de perÃ­cia processo judiial de nÂ° 5002140-18.;1;CARLYLE TORRES BEZERRA MENEZES;1;SV;24000;24000;24000;24000;itensVencedores_2f035cab-d63a-488e-a3f6-cfa07a54a8d7.csv
79.394.102/0001-99;39918;ManutenÃ§Ã£o de PrÃ³tese Transtibial com fornecimento de peÃ§as;1;ULLA VESTERGAARD LISBOA & CIA LTDA;1;UN;10600;10600;10600;10600;itensVencedores_3011ce32-5816-4b1b-ae07-ae7cbcfa4bf4.csv
34.893.331/0001-10;39746;HIGIENIZAÃÃO PREDIAL nas U.B.S. nos Centros de Triagem;1;CRICIUMA SERVICOS DE TERCEIRIZACAO LTDA;6;MES;606576.6;606576.6;101096.1;101096.1;itensVencedores_34f3b38e-482d-4c70-979f-a6163f434a68.csv
00.360.305/0001-04;10383962;AdministraÃ§Ã£o das contas salÃ¡rios dos servidores ativos, ina;1;CAIXA ECONÃMICA FEDERAL;1;SV;1.111557326E7;1.111557326E7;1.111557326E7;1.111557326E7;itensVencedores_37f6283c-363e-4f15-874f-42ba47d934ec.csv
77.891.653/0001-32;10383938;ABRAÃADEIRA DE NYLON 3, 6MMX150MM BRANCA;1;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;UND;18;18;0.09;0.09;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383939;ABRAÃADEIRA DE NYLON 3, 6MMX200MM BRANCA;2;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;UND;28;28;0.14;0.14;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383940;BORRACHA SILICONE TRANSPARENTE 280G QUARTZOLIT;3;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;87.48;87.48;14.58;14.58;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383941;BUCHA PLASTICA P/ FIXAÃÃO DE PARAFUSO NÂº 6;4;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;1000;UND;70;70;0.07;0.07;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383942;BUCHA PLASTICA P/ FIXAÃÃO DE PARAFUSO NÂº 8;5;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;500;UND;45;45;0.09;0.09;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373525;CABO FLEXIVEL 1,5MM (AMARELO);6;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373526;CABO FLEXIVEL 1,5MM (AZUL);7;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373527;CABO FLEXIVEL 1,5MM (BRANCO);8;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383943;CABO FLEXIVEL 1,5MM (CINZA);9;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383944;CABO FLEXIVEL 1,5MM (MARROM);10;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373528;CABO FLEXIVEL 1,5MM (PRETO);11;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;340100848;CABO FLEXIVEL 1,5MM (VERDE);12;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10377790;CABO FLEXIVEL 1,5MM (VERMELHO);13;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;M;258;258;1.29;1.29;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373525;CABO FLEXIVEL 1,5MM (AMARELO);14;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;300;M;633;633;2.11;2.11;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373526;CABO FLEXIVEL 1,5MM (AZUL);15;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;400;M;844;844;2.11;2.11;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373527;CABO FLEXIVEL 1,5MM (BRANCO);16;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;300;M;633;633;2.11;2.11;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10373528;CABO FLEXIVEL 1,5MM (PRETO);17;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;400;M;844;844;2.11;2.11;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;340100848;CABO FLEXIVEL 1,5MM (VERDE);18;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;300;M;633;633;2.11;2.11;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10377795;CABO LAN 4 PARES P/ REDE CPU LOGICO;19;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;310;M;604.5;604.5;1.95;1.95;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10298508;CAL BRANCO PARA PINTURA 8KG;20;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;10;SC;85;85;8.5;8.5;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10372240;cone de sinalizaÃ§Ã£o amarelo/preto 75cm;21;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;2;UND;61.96;61.96;30.98;30.98;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;340100849;CONECTOR PARA CABO LAN RJ-45 8P8C REF: 3681;22;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;200;UND;120;120;0.6;0.6;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383945;CORRENTE PVC 8MM INTERCALADO PRETO/AMARELO;23;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;100;M;628;628;6.28;6.28;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10377805;DESENTUPIDOR LIQUIDO 1LT;24;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;LT;212.04;212.04;35.34;35.34;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10377806;DISJUNTOR MONO SHB1-CO 20A - BRANCO;25;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;52.02;52.02;8.67;8.67;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383946;DISJUNTOR MONO SHB1-CO 25A - BRANCO;26;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;52.02;52.02;8.67;8.67;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10377807;DISJUNTOR MONO SHB1-CO 32A - BRANCO;27;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;52.02;52.02;8.67;8.67;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10372318;eletroduto corrugado amarela 25mm 3/4 (50mt);28;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;50;M;90;90;1.8;1.8;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10371520;ENGATE FLEXIVEL 40CM 1/2 PLASTICO;29;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;21;21;3.5;3.5;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10372320;engate flexivel 60cm 1/2 plastico;30;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;28.5;28.5;4.75;4.75;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10372342;Esmalte ab extra 3,6lt;31;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;3;GAL;285;285;95;95;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383947;FECHADURA 1601/09 55MM ESPELHO INOX EXTERNA;32;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;591.66;591.66;98.61;98.61;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10377817;FECHADURA CILINDRICA P/ DIVISORIA BRANCO;33;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;UND;324;324;54;54;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383948;FILTRO DE LINHA CONJUTO DE 5 TOMADAS PRETA;34;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;4;UND;101.24;101.24;25.31;25.31;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10372408;Fita dupla face 19mm transparente (20mts);35;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;40;M;226;226;5.65;5.65;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383949;FITA DUREX TRANSPARENTE 45MM X 45MTS LARGA;36;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;6;RL;21;21;3.5;3.5;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
77.891.653/0001-32;10383950;FITA ISOLANTE ANTI-CHAMA PRETA 19MMX20MT - 3M;37;ALCINO PAVEI MATERIAIS DE CONSTRUCAO LTDA ME;10;UND;67.2;67.2;6.72;6.72;itensVencedores_3fea7309-70d5-4319-97a5-d3a82bfaf95f.csv
