cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
05.021.932/0001-34;33039;Contra Ã¢ngulo odontolÃ³gico para endodontia;14;MF DE ALMEIDA & CIA. LTDA;2;UN;2600;1718;1300;859;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
05.021.932/0001-34;38321;Kit acadÃªmico contendo caneta de alta rotaÃ§Ã£o;15;MF DE ALMEIDA & CIA. LTDA;20;CX;38000;23100;1900;1155;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
05.021.932/0001-34;111;CANETA DE ALTA ROTACAO;16;MF DE ALMEIDA & CIA. LTDA;10;UN;6800;4100;680;410;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
05.021.932/0001-34;33045;Mini incubadora biolÃ³gica;18;MF DE ALMEIDA & CIA. LTDA;15;UN;3225;2025;215;135;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
05.021.932/0001-34;38322;Micromotor elÃ©trico de bancada LB100;19;MF DE ALMEIDA & CIA. LTDA;1;ESTO;840;610;840;610;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
05.021.932/0001-34;38324;PeÃ§a de mÃ£o multiplicadora angulada 1:2;21;MF DE ALMEIDA & CIA. LTDA;1;UN;3100;1450;3100;1450;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
05.021.932/0001-34;38327;LASER DE ALTA E BAIXA;25;MF DE ALMEIDA & CIA. LTDA;1;UN;4118;3080;4118;3080;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
18.258.209/0001-15;38314;RAIO-X PORTÃTIL.;1;CIRURGICAS CERON EQUIPAMENTOS HOSPITALARES E VETER;3;UN;50700;49500;16900;16500;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
18.258.209/0001-15;38317;MicroscÃ³pio odontolÃ³gico com estativa fixa no chÃ£o;4;CIRURGICAS CERON EQUIPAMENTOS HOSPITALARES E VETER;1;UN;15800;15500;15800;15500;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
18.258.209/0001-15;37594;Contra Ãngulo OscilatÃ³rio Endo-Eze Arios PB 4:1;13;CIRURGICAS CERON EQUIPAMENTOS HOSPITALARES E VETER;2;UN;3400;2800;1700;1400;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
18.258.209/0001-15;38323;Motor EndodÃ´ntico ElÃ©trico;20;CIRURGICAS CERON EQUIPAMENTOS HOSPITALARES E VETER;1;UN;5400;4250;5400;4250;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
97.533.241/0001-38;38318;Avental RX para Paciente Infantil;6;M.H.M DO COUTO COMERCIAL - ME;2;UN;850;618;425;309;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
97.533.241/0001-38;38319;Avental RX para Paciente Adulto;7;M.H.M DO COUTO COMERCIAL - ME;2;UN;1040;760;520;380;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
97.533.241/0001-38;27344;Amalgamador capsular digital;9;M.H.M DO COUTO COMERCIAL - ME;3;UN;3600;1515;1200;505;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
97.533.241/0001-38;33044;Localizador apical eletrÃ´nico;17;M.H.M DO COUTO COMERCIAL - ME;2;UN;3620;3064;1810;1532;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
31.770.650/0001-40;38315;Aparelho de ultrassom odontolÃ³gico;2;BRUMED COMERCIO ATACADISTA E MANUTENCAO DE EQUIPAM;2;UN;7200;3200;3600;1600;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
31.770.650/0001-40;38316;Bomba de vÃ¡cuo: Voltagem 127/220V;3;BRUMED COMERCIO ATACADISTA E MANUTENCAO DE EQUIPAM;2;UN;7580;3920;3790;1960;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
31.770.650/0001-40;38320;CÃ¢mara Escura Para RevelaÃ§Ã£o.;8;BRUMED COMERCIO ATACADISTA E MANUTENCAO DE EQUIPAM;1;UN;240;149;240;149;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
31.770.650/0001-40;36656;Autoclave 21 litros;10;BRUMED COMERCIO ATACADISTA E MANUTENCAO DE EQUIPAM;10;UN;48980;35900;4898;3590;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
31.770.650/0001-40;38325;Fotopolimerizador sem fio;23;BRUMED COMERCIO ATACADISTA E MANUTENCAO DE EQUIPAM;20;UN;18580;9200;929;460;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
04.648.801/0001-19;29863;Contra Ã¢ngulo odontolÃ³gico para peÃ§a de mÃ£o;12;SERV IMAGEM SUL ASSISTENCIA TECNICA EIRELI;7;UNI;4550;2443;650;349;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
04.648.801/0001-19;35000;Seladora termica digital, de mesa;22;SERV IMAGEM SUL ASSISTENCIA TECNICA EIRELI;20;UNI;28000;11580;1400;579;itensVencedores_00d7e585-3960-4885-9cc4-1a654a00842c.csv
75.534.974/0001-54;10378080;ExecuÃ§Ã£o d serviÃ§os necessÃ¡rios Ã  realizaÃ§Ã£o das obras de t;1;CONFER CONSTRUTORA FERNANDES LTDA;1;SV;4731377.72;4109449.55;4731377.72;4109449.55;itensVencedores_01676263-49ce-43d2-b813-795613768bd7.csv
02.861.044/0001-31;10379318;RecuperaÃ§Ã£o e reforma dos corrimÃµes, guarda-corpos, mastros,;1;BRATTI METAL MECANICA LTDA - EPP;1;SV;48496.71;46464.68;48496.71;46464.68;itensVencedores_02300fd6-430e-4fe4-9483-01caf7b56372.csv
03.326.193/0001-63;10379221;ImplantaÃ§Ã£o de drenagem urbana nas ruas Cristo Rei, Buenos A;1;LAJECRIL ARTEFATOS  DE CIMENTO LTDA;1;SV;665667.42;505288.99;665667.42;505288.99;itensVencedores_02a5199d-db29-4d32-a55e-00dfe608511d.csv
08.937.057/0001-23;689;AGASALHO - JAQUETA E CALÃA POLIESTER;1;WZ MULTIESPORTES LTDA;350;UND;50750;43323;145;123.78;itensVencedores_02f6f069-d062-4d56-a72c-c90a5bf51aeb.csv
08.937.057/0001-23;690;CAMISA DE PASSEIO (Polo);2;WZ MULTIESPORTES LTDA;50;UND;1750;1392.5;35;27.85;itensVencedores_02f6f069-d062-4d56-a72c-c90a5bf51aeb.csv
08.937.057/0001-23;691;CAMISA DE PASSEIO;3;WZ MULTIESPORTES LTDA;500;UND;18500;14720;37;29.44;itensVencedores_02f6f069-d062-4d56-a72c-c90a5bf51aeb.csv
08.937.057/0001-23;692;UNIFORME PARA JOGO;4;WZ MULTIESPORTES LTDA;120;UND;8160;6493.2;68;54.11;itensVencedores_02f6f069-d062-4d56-a72c-c90a5bf51aeb.csv
08.937.057/0001-23;693;MEIA;5;WZ MULTIESPORTES LTDA;500;UND;7000;5570;14;11.14;itensVencedores_02f6f069-d062-4d56-a72c-c90a5bf51aeb.csv
11.358.329/0001-45;10377279;Rede de proteÃ§Ã£o para quadra poliesportiva;1;MAGNUM INDUSTRIA E COMERCIO DE REDES ESPORTIVAS -;3000;M2;33120;18840;11.04;6.28;itensVencedores_0346f860-b9d7-41b9-94af-dd794f578329.csv
03.384.574/0001-07;10379600;ExecuÃ§Ã£o de serviÃ§os de pintura de sinalizaÃ§Ã£o viÃ¡ria horizo;1;DIVIPLAN LTDA;1;SV;31500;31500;31500;31500;itensVencedores_035ff49b-6b03-4348-a62b-de24a36a1940.csv
31.806.556/0001-01;10379190;CALHA EM CHAPA DE AÃO GALVANIZADO NÃMERO 24;1;ANTONIO'S ENGENHEIROS ASSOCIADOS EIRELI;3000;M;162840;103140;54.28;34.38;itensVencedores_04a493a4-f54d-4bba-92f1-d46d0d5398a3.csv
31.806.556/0001-01;10379191;RUFO EM CHAPA DE AÃO GALVANIZADO NÃMERO 24, CORTE DE 50 CM;2;ANTONIO'S ENGENHEIROS ASSOCIADOS EIRELI;2000;M;162360;104660;81.18;52.33;itensVencedores_04a493a4-f54d-4bba-92f1-d46d0d5398a3.csv
31.806.556/0001-01;10379192;TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM;3;ANTONIO'S ENGENHEIROS ASSOCIADOS EIRELI;1300;M;64103;39715;49.31;30.55;itensVencedores_04a493a4-f54d-4bba-92f1-d46d0d5398a3.csv
31.806.556/0001-01;10379193;JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 M;4;ANTONIO'S ENGENHEIROS ASSOCIADOS EIRELI;430;UND;8918.2;4966.5;20.74;11.55;itensVencedores_04a493a4-f54d-4bba-92f1-d46d0d5398a3.csv
31.806.556/0001-01;10379194;JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 M;5;ANTONIO'S ENGENHEIROS ASSOCIADOS EIRELI;860;UND;17802;10027.6;20.7;11.66;itensVencedores_04a493a4-f54d-4bba-92f1-d46d0d5398a3.csv
31.806.556/0001-01;10379195;Limpeza de calhas/canaletas de Ã¡guas pluviais;6;ANTONIO'S ENGENHEIROS ASSOCIADOS EIRELI;6000;M;14940;9480;2.49;1.58;itensVencedores_04a493a4-f54d-4bba-92f1-d46d0d5398a3.csv
83.665.141/0001-50;10377544;ExecuÃ§Ã£o de serviÃ§os necessÃ¡rios Ã¡ realizaÃ§Ã£o das obras de t;1;SETEP CONSTRUCOES S.A;1;SV;5987322.27;5297576.13;5987322.27;5297576.13;itensVencedores_05f04de2-4125-4739-9658-af55e8e0d362.csv
83.845.966/0001-57;10377174;ExecuÃ§Ã£o dos serviÃ§os necessÃ¡rios as obras de reconstruÃ§Ã£o e;1;ENGENHARIA CASTANHEL LTDA;1;SV;27968.19;27277.29;27968.19;27277.29;itensVencedores_06518a17-422a-43a8-92da-3b3e0713c6fd.csv
82.381.815/0001-22;10366035;ASFALTO DILUÃDO CM-30;2;CBB INDUSTRIA E COMERCIO DE ASFALTOS E ENGENHARIA LTDA;1000;KG;6511410;6199620;6511.41;6199.62;itensVencedores_073b3377-65ce-4562-b073-a50951504ada.csv
01.382.022/0001-26;10377233;Cimento AsfÃ¡ltico de petrÃ³leo - CAP 50-70;1;COMPASA DO BRASIL DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA;3350;KG;1.44810785E7;12907550;4322.71;3853;itensVencedores_073b3377-65ce-4562-b073-a50951504ada.csv
03.041.946/0001-94;10379562;ConstruÃ§Ã£o de um SKATEPARK em concreto, com 1.728,32mÂ² de Ã¡r;1;SBM CONSTRUCOES LTDA.;1;SV;1489511.17;1489511.17;1489511.17;1489511.17;itensVencedores_0745f44a-3283-474f-ba55-eedaf4c0bff5.csv
24.137.809/0001-28;10377680;Parque infantil em formato de aviÃ£o;1;BOA VISTA COMERCIO DE EQUIPAMENTOS EIRELI;2;UND;174036.2;169800;87018.1;84900;itensVencedores_0799925e-53f5-4440-bd8d-5bec3ef4a813.csv
24.137.809/0001-28;10377681;Parque infantil em formato de helicÃ³ptero;2;BOA VISTA COMERCIO DE EQUIPAMENTOS EIRELI;1;UND;62333.33;59850;62333.33;59850;itensVencedores_0799925e-53f5-4440-bd8d-5bec3ef4a813.csv
07.261.562/0001-38;37832;Jogo BOTA FORA;32;L. MOHR EIRELI;11;CX;2233;1210;203;110;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37833;Jogo DESCOLADOS;33;L. MOHR EIRELI;11;CX;1617;822.8;147;74.8;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37834;Jogo Habilidades Emocionais;34;L. MOHR EIRELI;11;CX;572;396;52;36;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37835;Jogo A Viagem do pensamento;35;L. MOHR EIRELI;11;CX;289.3;280.5;26.3;25.5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37836;boliche terapÃªutico;36;L. MOHR EIRELI;11;CX;1595;836;145;76;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37838;Jogo Adivinhe-me se for capaz;38;L. MOHR EIRELI;11;CX;1448.26;1265;131.66;115;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37839;Jogo do dilema;39;L. MOHR EIRELI;11;CX;432.63;396;39.33;36;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37840;Jogo Quase morri de raiva;40;L. MOHR EIRELI;11;CX;1386;1100;126;100;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37841;Reconehcendo as emoÃ§Ãµes;41;L. MOHR EIRELI;11;CX;469.26;464.2;42.66;42.2;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37842;Jogo resolvendo conflitos;42;L. MOHR EIRELI;11;CX;1169.63;880;106.33;80;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37843;Jogo socialize-se;43;L. MOHR EIRELI;11;CX;795.63;715;72.33;65;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37844;Material da casinha;44;L. MOHR EIRELI;11;CNJ;3069;3069;279;279;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37847;FamÃ­lia terapeutica, raÃ§a Negra;45;L. MOHR EIRELI;11;CNJ;1866.26;1848;169.66;168;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37846;FamÃ­lia terapeutica, raÃ§a branca;46;L. MOHR EIRELI;11;CNJ;1866.26;1848;169.66;168;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37855;Jogo o que estÃ¡ faltando?;55;L. MOHR EIRELI;11;CX;392.26;231;35.66;21;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37856;Jogo detetive cartas;57;L. MOHR EIRELI;11;CX;363;361.9;33;32.9;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37865;Bloco de montar;66;L. MOHR EIRELI;11;CX;1870;693;170;63;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37866;Massinha Play;67;L. MOHR EIRELI;11;KIT;352;352;32;32;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
07.261.562/0001-38;37868;Rolo de papel pardo;69;L. MOHR EIRELI;11;ROLO;1419;1419;129;129;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
01.763.210/0001-02;37859;Kit 26 animais de borracha;60;REJANE COMERCIO DE PRODUTOS PEDAGOGICOS LTDA - ME;11;KIT;2530;2310;230;210;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37801;Livro, tÃ­tulo: Porque Ã© importante entender a empatia?;1;TIAGO DANIEL IZOLAN;11;UN;363;275;33;25;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37802;Livro: Vencendo o pensamento dicotÃ´mico;2;TIAGO DANIEL IZOLAN;11;UN;363;278.3;33;25.3;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37803;Livro: Lidando com a catastrofizaÃ§Ã£o;3;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37804;Livro: CiÃºmes, que sentimento Ã© esse?;4;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37805;Livro: No mundo do jeito de ser: explicando personalidade pa;5;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37806;Livro: Caderno das emoÃ§Ãµes: cuidando da sua `casinha`;6;TIAGO DANIEL IZOLAN;11;UN;319;279.4;29;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37807;Livro: Bing e o pequeno alienÃ­gena alienado;7;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37808;Livro: Isabele sente vergonha Ã  flor da pele;8;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37809;Livro: Por onde anda a alegria?;9;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37810;Livro: Maria e sua mania;10;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37811;Livro: Coisas que acontecem na escola;11;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37812;Livro: O que eu jÃ¡ sou capaz de fazer? Aprendendo sobre dese;12;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37813;Livro: SilÃªncios peculiares: aprendendo com gui sobre autism;13;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37814;Livro: Vicente Valete;14;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37815;Livro: Por que eu tenho dificuldade de atenÃ§Ã£o?;15;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37816;Livro: LÃ¡ em casa Ã© assim, temos joaquim!;16;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37817;Livro: Preocupanda & Marrumina;17;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37818;Livro: A casa caiu;18;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37819;Livro: PrevisÃ£o do tempo: Entendendo a bipolaridade infantil;19;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37820;Livro: Porque devemos combater o bullying?;20;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37821;Livro: O nascimento do amor;21;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37822;Livro: Paulo e a difÃ­cil tarefa de aprender a ler;22;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37823;Livro: O cÃ©rebro e seus moradores;23;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37824;Livro: Lucas, aprendendo a lidar com o nÃ£o;24;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37825;Livro: A onda da raiva;25;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37826;Livro: O medo e seus disfarces;26;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37827;Livro: O vovÃ´ nÃ£o vai voltar?;27;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37828;Livro: Quando a tristeza aparece...;28;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37829;Livro: NÃ£o quero sair da bolsa!;29;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37830;Livro: A ovelha mal e o lobo bem;30;TIAGO DANIEL IZOLAN;11;UN;363;279.4;33;25.4;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37831;Livro: Adolescente, nÃ£o caia em roubada!;31;TIAGO DANIEL IZOLAN;11;UN;374;346.5;34;31.5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37837;Jogo da MemÃ³ria EmoÃ§Ãµes colorido;37;TIAGO DANIEL IZOLAN;11;CX;634.26;379.5;57.66;34.5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37848;Jogo tÃºnel do tempo;47;TIAGO DANIEL IZOLAN;11;CX;2453;2387;223;217;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;10378911;Jogo Cara a Cara;48;TIAGO DANIEL IZOLAN;11;UND;1404.26;660;127.66;60;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37849;Jogo Pizzaria Maluca;49;TIAGO DANIEL IZOLAN;11;CX;1877.26;451;170.66;41;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37850;Jogo tapa certo;50;TIAGO DANIEL IZOLAN;11;CX;953.26;214.5;86.66;19.5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37851;Jogo Cai nÃ£o Cai;51;TIAGO DANIEL IZOLAN;11;CX;1133;566.5;103;51.5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37853;Jogo resta um;53;TIAGO DANIEL IZOLAN;11;CX;330;55;30;5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;1011236;Jogo UNO;54;TIAGO DANIEL IZOLAN;11;UNI;275;132;25;12;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;1012927;JOGO DA VIDA;56;TIAGO DANIEL IZOLAN;11;UNI;1910.26;946;173.66;86;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37858;JacarÃ© de encaixe;59;TIAGO DANIEL IZOLAN;11;CX;1650;484;150;44;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37860;Blocos Xalingo;61;TIAGO DANIEL IZOLAN;11;CX;638;148.5;58;13.5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37863;Quebra-cabeÃ§a imagem de animais;64;TIAGO DANIEL IZOLAN;11;CX;770;181.5;70;16.5;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
32.076.501/0001-48;37867;Tesoura sem ponta;68;TIAGO DANIEL IZOLAN;11;UN;77.33;75.9;7.03;6.9;itensVencedores_07b9ec68-f3db-4481-926f-65d675f596fa.csv
00.247.513/0001-00;340100353;MONITOR 21;5;LIPAPER LIVRARIA INF. E PAPELARIA LTDA.;9;UND;7976.97;7245;886.33;805;itensVencedores_07f1374b-c3bd-4bce-9db5-6681eceb9bb0.csv
04.572.854/0001-01;10379256;PATCH CORD 1,5M;10;DAT INFORMATICA LTDA ME;100;UND;3493;3130;34.93;31.3;itensVencedores_07f1374b-c3bd-4bce-9db5-6681eceb9bb0.csv
04.572.854/0001-01;10379257;PATCH CORD 2,5M;11;DAT INFORMATICA LTDA ME;100;UND;4333;3970;43.33;39.7;itensVencedores_07f1374b-c3bd-4bce-9db5-6681eceb9bb0.csv
16.679.319/0001-25;10379252;COMPUTADOR BÃSICO COMPLETO;1;APICEBR COMERCIAL EIRELI;27;UND;74871;83160;2773;3080;itensVencedores_07f1374b-c3bd-4bce-9db5-6681eceb9bb0.csv
